+------------------------------------------------------------+-------------------------+----------------------------+--------------------+---------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------+----------------------------------------------------------------+--------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+
| Package                                                    | Version                 | License Information Origin | License Expression | License Url                                 | Copyright                                                                                                                                                 | Authors                                                 | Package Project Url                                            | Error                                                  | Error Context                                                                                                     |
|                                                            |                         |                            |                    |                                             |                                                                                                                                                           |                                                         |                                                                | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/src/Host/Host.csproj                                                    |
|                                                            |                         |                            |                    |                                             |                                                                                                                                                           |                                                         |                                                                | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/src/Modules/PreliminaryDataImport/Application/Application.csproj        |
|                                                            |                         |                            |                    |                                             |                                                                                                                                                           |                                                         |                                                                | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/src/Modules/PreliminaryDataImport/InternalClient/InternalClient.csproj  |
|                                                            |                         |                            |                    |                                             |                                                                                                                                                           |                                                         |                                                                | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/src/Modules/PreliminaryDataProcess/InternalClient/InternalClient.csproj |
|                                                            |                         |                            |                    |                                             |                                                                                                                                                           |                                                         |                                                                | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/src/Modules/PreliminaryDataProcess/Application/Application.csproj       |
|                                                            |                         |                            |                    |                                             |                                                                                                                                                           |                                                         |                                                                | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/src/Modules/Visualization/Application/Application.csproj                |
|                                                            |                         |                            |                    |                                             |                                                                                                                                                           |                                                         |                                                                | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/src/Modules/PopularScience/Application/Application.csproj               |
|                                                            |                         |                            |                    |                                             |                                                                                                                                                           |                                                         |                                                                | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/src/Modules/Ice/Application/Application.csproj                          |
| Mediator.SourceGenerator                                   | 3.0.1                   | Unknown                    |                    | https://aka.ms/deprecateLicenseUrl          | Copyright 2022 Martin Othamar                                                                                                                             | Martin Othamar                                          | https://github.com/martinothamar/Mediator                      | Validation for licenses of type File not yet supported | /Users/Alex/Source/SWeather/SWeather-core/src/Host/Host.csproj                                                    |
| Meziantou.Extensions.Logging.Xunit.v3                      | 1.1.2                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              |                                                                                                                                                           | Meziantou                                               | https://github.com/meziantou/Meziantou.Framework               |                                                        |                                                                                                                   |
